CustomerID	Country	I	Iu	Imax	Mep	Lep	AvgUP	AvgCart	Icheap	Iavg	Iexp	CustomerType
17850.0	United Kingdom	1733	21	40	35,75	1,06	3,960370370370364	2,833333333333333	648	752	333	medium-spending
13047.0	United Kingdom	1390	105	12	12,75	0,42	3,926081871345028	0,75	815	294	281	medium-spending
12583.0	France	5028	114	12	16,95	0,06	2,1404741379310326	1,25	4124	718	186	medium-spending
13748.0	United Kingdom	439	24	88	14,95	0,39	3,996428571428572	0,4166666666666667	192	232	15	medium-spending
15100.0	United Kingdom	80	1	88	10,95	10,95	10,949999999999998	0,25	0	0	80	medium-spending
15291.0	United Kingdom	2102	61	12	14,95	0,29	4,702254901960782	1,1666666666666667	1498	184	420	medium-spending
14688.0	United Kingdom	3621	148	102	25,0	0,19	2,1310397553516824	1,75	2803	566	252	medium-spending
17809.0	United Kingdom	2057	46	12	8,25	0,21	2,905737704918032	1,0	1187	426	444	medium-spending
15311.0	United Kingdom	38194	567	96	14,95	0,12	2,5060361496426773	7,583333333333332	32259	4437	1498	high-spending
16098.0	United Kingdom	613	34	12	21,95	0,29	4,424626865671639	0,5833333333333334	215	298	100	medium-spending
18074.0	United Kingdom	190	13	56	12,75	0,65	4,780769230769232	0,08333333333333333	100	68	22	high-spending
17420.0	United Kingdom	265	28	12	19,95	1,25	3,8813333333333326	0,25	132	118	15	medium-spending
16029.0	United Kingdom	35407	42	64	8,49	1,06	2,4174058577405866	5,083333333333333	26186	8712	509	high-spending
16250.0	United Kingdom	208	22	12	7,95	0,42	3,0883333333333334	0,16666666666666666	154	30	24	medium-spending
12431.0	Australia	2899	162	88	16,95	0,42	3,688798283261807	1,25	2058	497	344	medium-spending
13705.0	United Kingdom	363	25	82	165,0	0,65	7,608571428571427	0,25	324	22	17	medium-spending
13747.0	United Kingdom	8	1	12	9,95	9,95	9,95	0,08333333333333333	0	0	8	low-spending
13408.0	United Kingdom	16232	234	86	34,95	0,29	2,4391004184100438	5,166666666666667	12436	3006	790	medium-spending
13767.0	United Kingdom	7322	55	12	12,75	0,42	3,713532608695657	3,083333333333333	4738	1971	613	high-spending
17924.0	United Kingdom	1160	26	88	8,15	0,29	3,2464516129032264	0,5833333333333334	686	210	264	medium-spending
13448.0	United Kingdom	1660	137	12	16,95	0,14	3,1822051282051285	0,5	903	520	237	high-spending
15862.0	United Kingdom	585	142	108	16,95	0,16	2,7378911564625827	0,3333333333333333	459	92	34	medium-spending
15513.0	United Kingdom	5709	183	12	165,0	0,39	4,107370129870138	1,5833333333333333	3166	1245	1298	high-spending
12791.0	Netherlands	96	1	92	1,85	1,85	1,85	0,08333333333333333	96	0	0	medium-spending
16218.0	United Kingdom	2088	56	12	8,15	0,55	1,6713095238095244	0,5833333333333334	1960	88	40	medium-spending
14045.0	United Kingdom	535	4	118	8,5	1,65	4,233333333333333	0,3333333333333333	227	224	84	medium-spending
14307.0	United Kingdom	2058	150	12	16,95	0,21	2,4864444444444413	0,5	1647	335	76	high-spending
17908.0	United Kingdom	173	51	104	7,95	0,12	2,6725862068965496	0,08333333333333333	135	22	16	medium-spending
17920.0	United Kingdom	2514	406	12	16,95	0,12	2,327769784172669	1,4166666666666667	1870	482	162	medium-spending
12838.0	United Kingdom	359	115	76	16,95	0,29	2,3197560975609752	0,16666666666666666	228	104	27	medium-spending
13255.0	United Kingdom	177	13	12	14,95	0,65	4,959999999999999	0,16666666666666666	120	30	27	medium-spending
16583.0	United Kingdom	111	14	141	4,95	1,25	2,5642857142857145	0,08333333333333333	60	44	7	medium-spending
18085.0	United Kingdom	265	25	24	5,95	0,65	2,8448275862068977	0,16666666666666666	116	84	65	medium-spending
13758.0	United Kingdom	1844	104	83	16,95	0,21	3,287948717948716	0,5833333333333334	1168	568	108	medium-spending
13694.0	United Kingdom	63312	366	15	12,75	0,04	1,5689964788732382	4,166666666666667	58145	3769	1398	high-spending
15983.0	United Kingdom	892	82	3	10,4	0,42	2,100884955752212	0,3333333333333333	663	213	16	medium-spending
14849.0	United Kingdom	5694	159	211	12,75	0,29	2,4403092783505174	2,083333333333333	4640	800	254	medium-spending
17968.0	United Kingdom	160	74	193	7,95	0,29	1,9291764705882342	0,08333333333333333	125	22	13	medium-spending
16210.0	United Kingdom	7558	73	176	12,75	0,39	3,706475409836064	1,4166666666666667	1684	5734	140	high-spending
17897.0	United Kingdom	229	100	174	39,95	0,29	3,0799122807017536	0,25	144	48	37	medium-spending
17377.0	United Kingdom	2076	190	309	9,95	0,29	2,604186602870819	1,6666666666666667	1262	506	308	medium-spending
16552.0	United Kingdom	219	17	226	12,75	0,29	4,1099999999999985	0,16666666666666666	168	30	21	medium-spending
17181.0	United Kingdom	241	23	446	9,95	0,55	3,0395652173913037	0,16666666666666666	229	7	5	low-spending
17951.0	United Kingdom	616	18	488	12,75	0,29	2,2085000000000004	0,25	402	210	4	medium-spending
14729.0	United Kingdom	197	69	452	12,75	0,29	2,1591549295774644	0,08333333333333333	137	56	4	medium-spending
15012.0	United Kingdom	231	110	304	12,75	0,39	2,613515624999997	0,16666666666666666	161	48	22	medium-spending
12868.0	United Kingdom	928	72	714	12,75	0,29	2,6116822429906517	0,5	606	264	58	medium-spending
17572.0	United Kingdom	95	7	350	9,95	1,45	3,1583333333333337	0,3333333333333333	45	48	2	low-spending
14078.0	United Kingdom	310	46	198	12,75	0,39	2,680461538461539	0,5	112	81	117	medium-spending
14001.0	United Kingdom	962	34	170	12,75	0,65	3,5361538461538484	0,25	784	110	68	high-spending
12662.0	Germany	2041	128	274	29,95	0,21	2,534045454545455	0,9166666666666666	1407	509	125	medium-spending
